,true,pred
0,tensor(3),tensor(0)
1,tensor(2),tensor(0)
2,tensor(0),tensor(2)
3,tensor(1),tensor(2)
4,tensor(2),tensor(2)
5,tensor(3),tensor(2)
6,tensor(1),tensor(0)
7,tensor(0),tensor(0)
8,tensor(1),tensor(1)
9,tensor(1),tensor(1)
10,tensor(3),tensor(2)
11,tensor(0),tensor(0)
12,tensor(1),tensor(2)
13,tensor(0),tensor(1)
14,tensor(3),tensor(0)
15,tensor(5),tensor(2)
16,tensor(3),tensor(0)
17,tensor(2),tensor(0)
18,tensor(1),tensor(0)
19,tensor(1),tensor(1)
20,tensor(0),tensor(0)
21,tensor(3),tensor(0)
22,tensor(2),tensor(1)
23,tensor(2),tensor(2)
24,tensor(3),tensor(2)
25,tensor(3),tensor(2)
26,tensor(0),tensor(2)
27,tensor(3),tensor(0)
28,tensor(3),tensor(1)
29,tensor(3),tensor(3)
30,tensor(3),tensor(1)
31,tensor(0),tensor(0)
32,tensor(4),tensor(0)
33,tensor(2),tensor(0)
34,tensor(0),tensor(2)
35,tensor(1),tensor(1)
36,tensor(2),tensor(2)
37,tensor(3),tensor(0)
38,tensor(0),tensor(3)
39,tensor(0),tensor(1)
40,tensor(3),tensor(2)
41,tensor(4),tensor(2)
42,tensor(2),tensor(5)
43,tensor(3),tensor(0)
44,tensor(0),tensor(0)
45,tensor(2),tensor(0)
46,tensor(2),tensor(2)
47,tensor(0),tensor(1)
48,tensor(0),tensor(4)
49,tensor(0),tensor(2)
50,tensor(3),tensor(0)
51,tensor(3),tensor(0)
52,tensor(5),tensor(2)
53,tensor(3),tensor(2)
54,tensor(3),tensor(2)
55,tensor(1),tensor(0)
56,tensor(1),tensor(0)
57,tensor(1),tensor(0)
58,tensor(3),tensor(1)
59,tensor(0),tensor(1)
60,tensor(2),tensor(5)
61,tensor(1),tensor(1)
62,tensor(3),tensor(0)
63,tensor(1),tensor(0)
64,tensor(3),tensor(2)
65,tensor(3),tensor(0)
66,tensor(3),tensor(5)
67,tensor(2),tensor(0)
68,tensor(0),tensor(0)
69,tensor(3),tensor(2)
70,tensor(3),tensor(0)
71,tensor(0),tensor(0)
72,tensor(3),tensor(1)
73,tensor(3),tensor(3)
74,tensor(3),tensor(1)
75,tensor(3),tensor(2)
76,tensor(0),tensor(0)
77,tensor(1),tensor(2)
78,tensor(1),tensor(0)
79,tensor(3),tensor(2)
80,tensor(3),tensor(0)
81,tensor(1),tensor(0)
82,tensor(0),tensor(4)
83,tensor(1),tensor(0)
84,tensor(2),tensor(1)
85,tensor(3),tensor(1)
86,tensor(2),tensor(0)
87,tensor(3),tensor(4)
88,tensor(3),tensor(0)
89,tensor(1),tensor(0)
90,tensor(3),tensor(2)
91,tensor(0),tensor(3)
92,tensor(2),tensor(2)
93,tensor(3),tensor(4)
94,tensor(3),tensor(0)
95,tensor(1),tensor(0)
96,tensor(3),tensor(2)
97,tensor(4),tensor(3)
98,tensor(5),tensor(0)
99,tensor(3),tensor(2)
100,tensor(3),tensor(2)
101,tensor(3),tensor(1)
102,tensor(3),tensor(0)
103,tensor(3),tensor(2)
104,tensor(3),tensor(2)
105,tensor(2),tensor(2)
106,tensor(0),tensor(2)
107,tensor(0),tensor(1)
108,tensor(3),tensor(0)
109,tensor(3),tensor(2)
110,tensor(2),tensor(2)
111,tensor(5),tensor(2)
112,tensor(3),tensor(0)
113,tensor(1),tensor(4)
114,tensor(3),tensor(2)
115,tensor(2),tensor(2)
116,tensor(3),tensor(3)
117,tensor(2),tensor(1)
118,tensor(3),tensor(4)
119,tensor(3),tensor(0)
120,tensor(3),tensor(2)
121,tensor(3),tensor(0)
122,tensor(1),tensor(2)
123,tensor(2),tensor(2)
124,tensor(4),tensor(4)
125,tensor(3),tensor(1)
126,tensor(1),tensor(1)
127,tensor(5),tensor(4)
128,tensor(2),tensor(0)
129,tensor(2),tensor(2)
130,tensor(4),tensor(0)
131,tensor(0),tensor(0)
132,tensor(1),tensor(0)
133,tensor(0),tensor(4)
134,tensor(3),tensor(2)
135,tensor(2),tensor(0)
136,tensor(0),tensor(0)
137,tensor(3),tensor(0)
138,tensor(3),tensor(2)
139,tensor(3),tensor(0)
140,tensor(2),tensor(3)
141,tensor(3),tensor(0)
142,tensor(2),tensor(0)
143,tensor(2),tensor(2)
144,tensor(3),tensor(4)
145,tensor(3),tensor(1)
146,tensor(3),tensor(0)
147,tensor(3),tensor(2)
148,tensor(1),tensor(1)
149,tensor(2),tensor(4)
150,tensor(5),tensor(2)
151,tensor(2),tensor(1)
152,tensor(0),tensor(1)
153,tensor(3),tensor(0)
154,tensor(4),tensor(2)
155,tensor(3),tensor(0)
156,tensor(3),tensor(2)
157,tensor(0),tensor(2)
158,tensor(3),tensor(2)
159,tensor(1),tensor(2)
160,tensor(2),tensor(2)
161,tensor(1),tensor(0)
162,tensor(1),tensor(0)
163,tensor(4),tensor(2)
164,tensor(0),tensor(0)
165,tensor(2),tensor(0)
166,tensor(1),tensor(1)
167,tensor(4),tensor(2)
168,tensor(1),tensor(1)
169,tensor(3),tensor(2)
170,tensor(0),tensor(1)
171,tensor(0),tensor(1)
172,tensor(2),tensor(2)
173,tensor(4),tensor(4)
174,tensor(5),tensor(0)
175,tensor(3),tensor(3)
176,tensor(2),tensor(0)
177,tensor(5),tensor(2)
178,tensor(2),tensor(0)
179,tensor(2),tensor(0)
180,tensor(5),tensor(1)
181,tensor(4),tensor(0)
182,tensor(3),tensor(1)
183,tensor(3),tensor(2)
184,tensor(1),tensor(0)
185,tensor(5),tensor(0)
186,tensor(0),tensor(0)
187,tensor(0),tensor(0)
188,tensor(0),tensor(0)
189,tensor(3),tensor(2)
190,tensor(1),tensor(1)
191,tensor(2),tensor(0)
192,tensor(3),tensor(0)
193,tensor(1),tensor(2)
194,tensor(3),tensor(2)
195,tensor(0),tensor(4)
196,tensor(5),tensor(0)
197,tensor(2),tensor(4)
198,tensor(1),tensor(2)
199,tensor(3),tensor(0)
200,tensor(2),tensor(0)
201,tensor(1),tensor(5)
202,tensor(4),tensor(0)
203,tensor(0),tensor(1)
204,tensor(2),tensor(1)
205,tensor(3),tensor(2)
206,tensor(2),tensor(2)
207,tensor(5),tensor(4)
208,tensor(1),tensor(2)
209,tensor(3),tensor(2)
210,tensor(3),tensor(0)
211,tensor(1),tensor(1)
212,tensor(4),tensor(0)
213,tensor(1),tensor(1)
214,tensor(3),tensor(1)
215,tensor(0),tensor(0)
216,tensor(3),tensor(4)
217,tensor(4),tensor(2)
218,tensor(1),tensor(0)
219,tensor(4),tensor(4)
220,tensor(0),tensor(5)
221,tensor(3),tensor(0)
222,tensor(4),tensor(0)
223,tensor(5),tensor(0)
224,tensor(2),tensor(2)
225,tensor(4),tensor(4)
226,tensor(3),tensor(0)
227,tensor(3),tensor(0)
228,tensor(5),tensor(2)
229,tensor(3),tensor(5)
230,tensor(1),tensor(0)
231,tensor(2),tensor(0)
232,tensor(3),tensor(1)
233,tensor(0),tensor(0)
234,tensor(5),tensor(2)
235,tensor(3),tensor(4)
236,tensor(2),tensor(3)
237,tensor(3),tensor(1)
238,tensor(3),tensor(0)
239,tensor(1),tensor(2)
240,tensor(2),tensor(2)
241,tensor(3),tensor(3)
242,tensor(0),tensor(2)
243,tensor(4),tensor(1)
244,tensor(3),tensor(3)
245,tensor(2),tensor(2)
246,tensor(3),tensor(0)
247,tensor(2),tensor(0)
248,tensor(0),tensor(0)
249,tensor(2),tensor(2)
250,tensor(4),tensor(0)
251,tensor(1),tensor(1)
252,tensor(2),tensor(2)
253,tensor(0),tensor(2)
254,tensor(3),tensor(2)
255,tensor(3),tensor(2)
256,tensor(1),tensor(1)
257,tensor(3),tensor(0)
258,tensor(3),tensor(0)
259,tensor(4),tensor(0)
260,tensor(3),tensor(0)
261,tensor(3),tensor(2)
262,tensor(2),tensor(1)
263,tensor(3),tensor(2)
264,tensor(3),tensor(0)
265,tensor(0),tensor(0)
266,tensor(1),tensor(4)
267,tensor(3),tensor(2)
268,tensor(3),tensor(5)
269,tensor(1),tensor(0)
270,tensor(1),tensor(1)
271,tensor(2),tensor(0)
272,tensor(4),tensor(2)
273,tensor(3),tensor(4)
274,tensor(3),tensor(2)
275,tensor(2),tensor(0)
276,tensor(3),tensor(4)
277,tensor(1),tensor(1)
278,tensor(3),tensor(0)
279,tensor(2),tensor(2)
280,tensor(3),tensor(2)
281,tensor(3),tensor(0)
282,tensor(3),tensor(0)
283,tensor(1),tensor(0)
284,tensor(1),tensor(0)
285,tensor(3),tensor(0)
286,tensor(5),tensor(2)
287,tensor(3),tensor(0)
288,tensor(3),tensor(0)
289,tensor(3),tensor(5)
290,tensor(2),tensor(2)
291,tensor(5),tensor(2)
292,tensor(4),tensor(2)
293,tensor(4),tensor(0)
294,tensor(4),tensor(0)
295,tensor(3),tensor(1)
296,tensor(3),tensor(0)
297,tensor(4),tensor(4)
298,tensor(2),tensor(2)
299,tensor(1),tensor(0)
300,tensor(1),tensor(2)
301,tensor(4),tensor(4)
302,tensor(4),tensor(2)
303,tensor(3),tensor(3)
304,tensor(3),tensor(3)
305,tensor(2),tensor(2)
306,tensor(3),tensor(3)
307,tensor(2),tensor(0)
308,tensor(3),tensor(0)
309,tensor(1),tensor(4)
310,tensor(2),tensor(2)
311,tensor(5),tensor(2)
312,tensor(1),tensor(1)
313,tensor(0),tensor(2)
314,tensor(3),tensor(0)
315,tensor(3),tensor(0)
316,tensor(3),tensor(0)
317,tensor(3),tensor(0)
318,tensor(2),tensor(3)
319,tensor(0),tensor(0)
320,tensor(1),tensor(1)
321,tensor(5),tensor(1)
322,tensor(0),tensor(2)
323,tensor(3),tensor(0)
324,tensor(3),tensor(1)
325,tensor(0),tensor(1)
326,tensor(3),tensor(2)
327,tensor(1),tensor(0)
328,tensor(4),tensor(1)
329,tensor(0),tensor(0)
330,tensor(3),tensor(2)
331,tensor(4),tensor(4)
332,tensor(5),tensor(5)
333,tensor(3),tensor(0)
334,tensor(2),tensor(1)
335,tensor(0),tensor(4)
336,tensor(3),tensor(0)
337,tensor(4),tensor(2)
338,tensor(2),tensor(2)
339,tensor(3),tensor(4)
340,tensor(2),tensor(2)
341,tensor(3),tensor(2)
342,tensor(5),tensor(0)
343,tensor(3),tensor(0)
344,tensor(0),tensor(1)
345,tensor(3),tensor(0)
346,tensor(0),tensor(0)
347,tensor(3),tensor(0)
348,tensor(0),tensor(2)
349,tensor(0),tensor(0)
350,tensor(5),tensor(1)
351,tensor(2),tensor(0)
352,tensor(4),tensor(0)
353,tensor(2),tensor(1)
354,tensor(3),tensor(2)
355,tensor(3),tensor(2)
356,tensor(2),tensor(0)
357,tensor(0),tensor(0)
358,tensor(3),tensor(0)
359,tensor(1),tensor(1)
360,tensor(1),tensor(0)
361,tensor(4),tensor(0)
362,tensor(3),tensor(0)
363,tensor(3),tensor(4)
364,tensor(3),tensor(3)
365,tensor(0),tensor(0)
366,tensor(3),tensor(2)
367,tensor(3),tensor(1)
368,tensor(0),tensor(0)
369,tensor(3),tensor(2)
370,tensor(3),tensor(1)
371,tensor(3),tensor(4)
372,tensor(3),tensor(4)
373,tensor(3),tensor(4)
374,tensor(0),tensor(0)
375,tensor(1),tensor(3)
376,tensor(3),tensor(0)
377,tensor(2),tensor(2)
378,tensor(0),tensor(2)
379,tensor(0),tensor(4)
380,tensor(5),tensor(2)
381,tensor(0),tensor(0)
382,tensor(0),tensor(0)
383,tensor(4),tensor(0)
384,tensor(3),tensor(0)
385,tensor(2),tensor(2)
386,tensor(1),tensor(2)
387,tensor(4),tensor(2)
388,tensor(0),tensor(0)
389,tensor(3),tensor(0)
390,tensor(0),tensor(2)
391,tensor(3),tensor(3)
392,tensor(3),tensor(1)
393,tensor(2),tensor(0)
394,tensor(3),tensor(1)
395,tensor(3),tensor(2)
396,tensor(4),tensor(4)
397,tensor(5),tensor(0)
398,tensor(1),tensor(1)
399,tensor(4),tensor(3)
400,tensor(1),tensor(4)
401,tensor(3),tensor(0)
402,tensor(2),tensor(0)
403,tensor(2),tensor(2)
404,tensor(0),tensor(0)
405,tensor(3),tensor(3)
406,tensor(2),tensor(0)
407,tensor(3),tensor(2)
408,tensor(2),tensor(1)
409,tensor(0),tensor(0)
410,tensor(0),tensor(4)
411,tensor(2),tensor(0)
412,tensor(1),tensor(0)
413,tensor(5),tensor(2)
414,tensor(3),tensor(0)
415,tensor(4),tensor(2)
416,tensor(4),tensor(2)
417,tensor(1),tensor(0)
418,tensor(2),tensor(0)
419,tensor(3),tensor(0)
420,tensor(1),tensor(2)
421,tensor(3),tensor(2)
422,tensor(2),tensor(0)
423,tensor(1),tensor(1)
424,tensor(3),tensor(0)
425,tensor(3),tensor(0)
426,tensor(2),tensor(4)
427,tensor(2),tensor(2)
428,tensor(2),tensor(1)
429,tensor(3),tensor(3)
