,true,pred
0,3,0
1,2,0
2,0,2
3,1,2
4,2,2
5,3,2
6,1,0
7,0,0
8,1,1
9,1,1
10,3,2
11,0,0
12,1,2
13,0,1
14,3,0
15,5,2
16,3,0
17,2,0
18,1,0
19,1,1
20,0,0
21,3,0
22,2,1
23,2,2
24,3,2
25,3,2
26,0,2
27,3,0
28,3,1
29,3,3
30,3,1
31,0,0
32,4,0
33,2,0
34,0,2
35,1,1
36,2,2
37,3,0
38,0,3
39,0,1
40,3,2
41,4,2
42,2,5
43,3,0
44,0,0
45,2,0
46,2,2
47,0,1
48,0,4
49,0,2
50,3,0
51,3,0
52,5,2
53,3,2
54,3,2
55,1,0
56,1,0
57,1,0
58,3,1
59,0,1
60,2,5
61,1,1
62,3,0
63,1,0
64,3,2
65,3,0
66,3,5
67,2,0
68,0,0
69,3,2
70,3,0
71,0,0
72,3,1
73,3,3
74,3,1
75,3,2
76,0,0
77,1,2
78,1,0
79,3,2
80,3,0
81,1,0
82,0,4
83,1,0
84,2,1
85,3,1
86,2,0
87,3,4
88,3,0
89,1,0
90,3,2
91,0,3
92,2,2
93,3,4
94,3,0
95,1,0
96,3,2
97,4,3
98,5,0
99,3,2
100,3,2
101,3,1
102,3,0
103,3,2
104,3,2
105,2,2
106,0,2
107,0,1
108,3,0
109,3,2
110,2,2
111,5,2
112,3,0
113,1,4
114,3,2
115,2,2
116,3,3
117,2,1
118,3,4
119,3,0
120,3,2
121,3,0
122,1,2
123,2,2
124,4,4
125,3,1
126,1,1
127,5,4
128,2,0
129,2,2
130,4,0
131,0,0
132,1,0
133,0,4
134,3,2
135,2,0
136,0,0
137,3,0
138,3,2
139,3,0
140,2,3
141,3,0
142,2,0
143,2,2
144,3,4
145,3,1
146,3,0
147,3,2
148,1,1
149,2,4
150,5,2
151,2,1
152,0,1
153,3,0
154,4,2
155,3,0
156,3,2
157,0,2
158,3,2
159,1,2
160,2,2
161,1,0
162,1,0
163,4,2
164,0,0
165,2,0
166,1,1
167,4,2
168,1,1
169,3,2
170,0,1
171,0,1
172,2,2
173,4,4
174,5,0
175,3,3
176,2,0
177,5,2
178,2,0
179,2,0
180,5,1
181,4,0
182,3,1
183,3,2
184,1,0
185,5,0
186,0,0
187,0,0
188,0,0
189,3,2
190,1,1
191,2,0
192,3,0
193,1,2
194,3,2
195,0,4
196,5,0
197,2,4
198,1,2
199,3,0
200,2,0
201,1,5
202,4,0
203,0,1
204,2,1
205,3,2
206,2,2
207,5,4
208,1,2
209,3,2
210,3,0
211,1,1
212,4,0
213,1,1
214,3,1
215,0,0
216,3,4
217,4,2
218,1,0
219,4,4
220,0,5
221,3,0
222,4,0
223,5,0
224,2,2
225,4,4
226,3,0
227,3,0
228,5,2
229,3,5
230,1,0
231,2,0
232,3,1
233,0,0
234,5,2
235,3,4
236,2,3
237,3,1
238,3,0
239,1,2
240,2,2
241,3,3
242,0,2
243,4,1
244,3,3
245,2,2
246,3,0
247,2,0
248,0,0
249,2,2
250,4,0
251,1,1
252,2,2
253,0,2
254,3,2
255,3,2
256,1,1
257,3,0
258,3,0
259,4,0
260,3,0
261,3,2
262,2,1
263,3,2
264,3,0
265,0,0
266,1,4
267,3,2
268,3,5
269,1,0
270,1,1
271,2,0
272,4,2
273,3,4
274,3,2
275,2,0
276,3,4
277,1,1
278,3,0
279,2,2
280,3,2
281,3,0
282,3,0
283,1,0
284,1,0
285,3,0
286,5,2
287,3,0
288,3,0
289,3,5
290,2,2
291,5,2
292,4,2
293,4,0
294,4,0
295,3,1
296,3,0
297,4,4
298,2,2
299,1,0
300,1,2
301,4,4
302,4,2
303,3,3
304,3,3
305,2,2
306,3,3
307,2,0
308,3,0
309,1,4
310,2,2
311,5,2
312,1,1
313,0,2
314,3,0
315,3,0
316,3,0
317,3,0
318,2,3
319,0,0
320,1,1
321,5,1
322,0,2
323,3,0
324,3,1
325,0,1
326,3,2
327,1,0
328,4,1
329,0,0
330,3,2
331,4,4
332,5,5
333,3,0
334,2,1
335,0,4
336,3,0
337,4,2
338,2,2
339,3,4
340,2,2
341,3,2
342,5,0
343,3,0
344,0,1
345,3,0
346,0,0
347,3,0
348,0,2
349,0,0
350,5,1
351,2,0
352,4,0
353,2,1
354,3,2
355,3,2
356,2,0
357,0,0
358,3,0
359,1,1
360,1,0
361,4,0
362,3,0
363,3,4
364,3,3
365,0,0
366,3,2
367,3,1
368,0,0
369,3,2
370,3,1
371,3,4
372,3,4
373,3,4
374,0,0
375,1,3
376,3,0
377,2,2
378,0,2
379,0,4
380,5,2
381,0,0
382,0,0
383,4,0
384,3,0
385,2,2
386,1,2
387,4,2
388,0,0
389,3,0
390,0,2
391,3,3
392,3,1
393,2,0
394,3,1
395,3,2
396,4,4
397,5,0
398,1,1
399,4,3
400,1,4
401,3,0
402,2,0
403,2,2
404,0,0
405,3,3
406,2,0
407,3,2
408,2,1
409,0,0
410,0,4
411,2,0
412,1,0
413,5,2
414,3,0
415,4,2
416,4,2
417,1,0
418,2,0
419,3,0
420,1,2
421,3,2
422,2,0
423,1,1
424,3,0
425,3,0
426,2,4
427,2,2
428,2,1
429,3,3
430,3,1
431,5,2
432,3,0
433,2,2
434,2,0
435,3,0
436,4,1
437,2,1
438,0,2
439,2,1
440,2,5
441,0,0
442,1,0
443,0,2
444,2,2
445,3,3
446,3,5
447,3,2
448,1,2
449,1,0
450,3,0
451,2,1
452,0,2
453,0,0
454,3,1
455,4,4
456,2,2
457,2,0
458,4,4
459,1,0
460,4,4
461,0,1
462,5,2
463,0,0
464,3,5
465,3,4
466,1,1
467,0,0
468,4,2
469,1,2
470,5,2
471,5,2
472,3,0
473,4,2
474,5,2
475,2,4
476,2,5
477,1,0
478,2,0
479,3,4
480,3,2
481,5,0
482,2,0
483,2,3
484,3,2
485,3,4
486,3,2
487,0,1
488,0,0
489,3,0
490,3,2
491,4,0
492,5,5
493,3,1
494,1,2
495,1,0
496,4,1
497,0,0
498,3,0
499,3,0
500,4,2
501,2,0
502,0,0
503,3,0
504,2,0
505,4,0
506,0,0
507,3,2
508,2,5
509,3,1
510,1,2
511,2,0
512,3,1
513,3,0
514,5,2
515,1,0
516,3,0
517,1,2
518,2,2
519,0,0
520,1,1
521,3,2
522,2,1
523,2,2
524,1,2
525,3,2
526,0,0
527,2,0
528,0,0
529,3,1
530,5,4
531,0,0
532,1,0
533,1,0
534,1,0
535,3,3
536,3,4
537,3,2
538,3,3
539,0,0
540,3,0
541,1,0
542,1,0
543,2,2
544,5,0
545,2,5
546,5,2
547,2,2
548,3,2
549,3,2
550,3,2
551,4,5
552,0,0
553,3,0
554,4,2
555,4,2
556,0,0
557,1,0
558,2,2
559,3,1
560,3,2
561,1,2
562,4,0
563,2,1
564,3,0
565,3,0
566,3,2
567,2,0
568,1,2
569,3,2
570,4,3
571,1,1
572,5,0
573,1,2
574,3,0
575,3,2
576,3,4
577,3,2
578,2,2
579,3,0
